time,velocity,gamma,altitude
2.550000000000000000e+02,6.797697190656670045e+02,5.040473295867307968e+00,7.822188950592468609e+04
2.560000000000000000e+02,6.779452800224593148e+02,5.040680487033760926e+00,7.823344259390258230e+04
2.570000000000000000e+02,6.761443565483824614e+02,5.040805141501573772e+00,7.824401115090215171e+04
2.580000000000000000e+02,6.743660070458871587e+02,5.040848584685241995e+00,7.825364578313498350e+04
2.590000000000000000e+02,6.726093350629977294e+02,5.040812104801637439e+00,7.826239456081225944e+04
2.600000000000000000e+02,6.708734892933121046e+02,5.040696952870002079e+00,7.827030301814479753e+04
2.610000000000000000e+02,6.691576635760015961e+02,5.040504342711954244e+00,7.827741415334296471e+04
2.620000000000000000e+02,6.674610968958112380e+02,5.040235450951485063e+00,7.828376842861673504e+04
2.630000000000000000e+02,6.657830733830597865e+02,5.039891417014959352e+00,7.828940377017566061e+04
2.640000000000000000e+02,6.641229223136394921e+02,5.039473343131117389e+00,7.829435556822891522e+04
2.650000000000000000e+02,6.624800181090161004e+02,5.038982294331070477e+00,7.829865667698522157e+04
2.660000000000000000e+02,6.608537803362290788e+02,5.038419298448306272e+00,7.830233741465290950e+04
2.670000000000000000e+02,6.592436737078915030e+02,5.037785346118684338e+00,7.830542556343993056e+04
2.680000000000000000e+02,6.576492080821898298e+02,5.037081390780438817e+00,7.830794636955378519e+04
2.690000000000000000e+02,6.560699384628844655e+02,5.036308348674178426e+00,7.830992254320156644e+04
2.700000000000000000e+02,6.545054649993090834e+02,5.035467098842883793e+00,7.831137425859000359e+04
2.710000000000000000e+02,6.529554329863711928e+02,5.034558483131911899e+00,7.831231915392536030e+04
2.720000000000000000e+02,6.514195328645516838e+02,5.033583306188990747e+00,7.831277233141352190e+04
2.730000000000000000e+02,6.498975002199051687e+02,5.032542335464224692e+00,7.831274635725995176e+04
2.740000000000000000e+02,6.483891157840598680e+02,5.031436301210090001e+00,7.831225126166972041e+04
2.750000000000000000e+02,6.468942054342176107e+02,5.030265896481437515e+00,7.831129453884749091e+04
2.760000000000000000e+02,6.454126401931537202e+02,5.029031777135491765e+00,7.830988114699747530e+04
2.770000000000000000e+02,6.439443362292172424e+02,5.027734561831850968e+00,7.830801350832353637e+04
2.780000000000000000e+02,6.424892548563306036e+02,5.026374832032487916e+00,7.830569150902908586e+04
2.790000000000000000e+02,6.410474025339900663e+02,5.024953132001748202e+00,7.830291249931712809e+04
2.800000000000000000e+02,6.396188308672653875e+02,5.023469968806351105e+00,7.829967129339028907e+04
2.810000000000000000e+02,6.382036366067998188e+02,5.021925812315390480e+00,7.829596016945074371e+04
2.820000000000000000e+02,6.368019616488104475e+02,5.020321095200333872e+00,7.829176886970030318e+04
2.830000000000000000e+02,6.354139930350878558e+02,5.018656212935022509e+00,7.828708460034032760e+04
2.840000000000000000e+02,6.340399629529960066e+02,5.016931523795671310e+00,7.828189203157178417e+04
2.850000000000000000e+02,6.326801487354726987e+02,5.015147348860869769e+00,7.827617329759526183e+04
2.860000000000000000e+02,6.313348728610293392e+02,5.013303972011578402e+00,7.826990799661088386e+04
