time,v, gamma, altitude, skin_temp
6.390000000000000568e+01,2.040975652184190949e+03,1.384067233870166280e+00,3.498391412992793630e+04,3.229296233098078801e+02
6.400000000000000000e+01,2.040017628285921091e+03,1.385377180698030619e+00,3.499044549499181448e+04,3.229452298350361730e+02
6.410000000000000853e+01,2.039061242999628121e+03,1.386684072160142556e+00,3.499695733459185431e+04,3.229607990653938714e+02
6.420000000000000284e+01,2.038106488474413254e+03,1.387987925377405896e+00,3.500344947354879696e+04,3.229763312057051508e+02
6.429999999999999716e+01,2.037153356911371702e+03,1.389288757337338032e+00,3.500992174005249399e+04,3.229918264593817980e+02
6.440000000000000568e+01,2.036201840563593578e+03,1.390586584894070388e+00,3.501637396566192911e+04,3.230072850284228139e+02
6.450000000000000000e+01,2.035251931736163215e+03,1.391881424768347975e+00,3.502280598530520365e+04,3.230227071134144694e+02
6.460000000000000853e+01,2.034303622786159622e+03,1.393173293547529612e+00,3.502921763727955113e+04,3.230380929135304768e+02
6.470000000000000284e+01,2.033356906122656483e+03,1.394462207685587041e+00,3.503560876325132267e+04,3.230534426265318189e+02
6.479999999999999716e+01,2.032411774206721930e+03,1.395748183503107143e+00,3.504197920825598703e+04,3.230687564487669192e+02
6.490000000000000568e+01,2.031468219551418315e+03,1.397031237187289499e+00,3.504832882069814514e+04,3.230840345751713016e+02
6.500000000000000000e+01,2.030526234721803121e+03,1.398311384791947498e+00,3.505465745235152281e+04,3.230992771992680446e+02
6.510000000000000853e+01,2.029585812334927823e+03,1.399588642237508340e+00,3.506096495835895621e+04,3.231144845131674401e+02
6.520000000000000284e+01,2.028646945059838799e+03,1.400863025311013255e+00,3.506725119723242096e+04,3.231296567075672215e+02
6.529999999999999716e+01,2.027709625617576876e+03,1.402134549666116614e+00,3.507351603085301031e+04,3.231447939717522786e+02
6.540000000000000568e+01,2.026773846781177099e+03,1.403403230823087267e+00,3.507975932447092782e+04,3.231598964935950562e+02
